date,time,c,f
12/12/2019,00:08:04,23.218,73.793
12/12/2019,00:38:04,23.25,73.849
12/12/2019,01:08:04,23.239,73.831
12/12/2019,01:38:04,23.25,73.85
12/12/2019,02:08:04,23.302,73.943
12/12/2019,02:38:05,23.271,73.887
12/12/2019,03:08:04,23.281,73.906
12/12/2019,03:38:04,23.281,73.906
12/12/2019,04:08:04,23.291,73.925
12/12/2019,04:38:04,23.25,73.85
12/12/2019,05:08:04,23.312,73.962
12/12/2019,05:38:04,23.364,74.056
12/12/2019,06:08:04,23.302,73.943
12/12/2019,06:38:04,23.271,73.887
12/12/2019,07:08:04,23.343,74.019
12/12/2019,07:38:03,23.354,74.037
12/12/2019,08:08:03,23.364,74.056
12/12/2019,08:38:03,23.333,74.0
12/12/2019,09:08:03,23.385,74.093
12/12/2019,09:38:03,23.427,74.169
12/12/2019,10:08:03,23.5,74.3
12/12/2019,10:38:03,23.5,74.3
12/12/2019,11:08:02,23.458,74.225
12/12/2019,11:38:02,23.5,74.3
12/12/2019,12:08:02,23.531,74.356
12/12/2019,12:38:02,23.521,74.338
12/12/2019,13:08:02,23.615,74.506
12/12/2019,13:38:02,23.771,74.787
12/12/2019,14:08:01,23.833,74.9
12/12/2019,14:38:01,23.802,74.843
12/12/2019,15:08:01,23.729,74.712
12/12/2019,15:38:01,23.646,74.562
12/12/2019,16:08:01,23.625,74.525
12/12/2019,16:38:00,23.625,74.525
12/12/2019,17:08:00,23.615,74.506
12/12/2019,17:38:00,23.594,74.469
